mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,split3_test_score,split4_test_score
29.25933774312337,1.6220920122766882,0.142131487528483,0.0060616441626462,1.0,10.0,1.0,500,1,15,0.07,0.2,0.8,-1633306240.0,-739299776.0,-597129664.0,-989911893.3333334,458635875.3074116,75,1.0,10.0,1.0,500,1,15,0.07,0.2,0.8,,
4.936366160710652,0.0304409990534921,0.0775745709737141,0.0041093909535333,0.6,0.0,0.1,100,5,14,0.05,0.1,0.7,-1633209728.0,-645314048.0,-649425664.0,-975983146.6666666,464732403.8303178,66,0.6,0.0,0.1,100,5,14,0.05,0.1,0.7,,
1.024182875951131,0.0793080026536985,0.0706604321797688,0.0034645329748044,0.6,0.0,0.1,150,1,6,0.01,0.5,0.7,-2354567424.0,-1409764096.0,-1391981440.0,-1718770986.6666667,449634583.491916,99,0.6,0.0,0.1,150,1,6,0.01,0.5,0.7,,
10.338096936543783,0.2343984722460386,0.1130987803141276,0.0053860192765009,0.6,0.0,1.0,950,10,12,0.05,0.5,0.6,-1581543040.0,-601258176.0,-628383744.0,-937061653.3333334,455851688.1835383,20,0.6,0.0,1.0,950,10,12,0.05,0.5,0.6,,
26.747514963150024,1.012126031184083,0.1638272603352864,0.008609178928281,0.8,1.0,1.0,900,10,16,0.1,0.5,0.6,-1598026368.0,-652135360.0,-654027200.0,-968062976.0,445452055.93850064,60,0.8,1.0,1.0,900,10,16,0.1,0.5,0.6,,
45.43867222468058,0.814664131373935,0.158042033513387,0.0042168345174538,1.0,0.0,10.0,250,1,15,0.01,0.0,0.6,-1746888576.0,-785422528.0,-783173376.0,-1105161493.3333333,453770500.8350094,94,1.0,0.0,10.0,250,1,15,0.01,0.0,0.6,,
5.390629212061564,0.0720324190278699,0.0977741877237955,0.004157262198325,0.6,1.0,1.0,400,5,10,0.01,0.4,0.7,-1683685376.0,-688344768.0,-645210944.0,-1005747029.3333334,479698122.5062736,83,0.6,1.0,1.0,400,5,10,0.01,0.4,0.7,,
10.36668825149536,0.9323228927471184,0.09080171585083,0.0055967998990331,1.0,10.0,1.0,400,10,16,0.07,0.1,0.8,-1601183488.0,-615575616.0,-599680000.0,-938813034.6666666,468411593.0381164,27,1.0,10.0,1.0,400,10,16,0.07,0.1,0.8,,
6.0858503977457685,0.1070300956242399,0.0982646147410074,0.0095406373365048,1.0,0.0,10.0,750,5,9,0.05,0.0,0.7,-1588387712.0,-614052544.0,-608881216.0,-937107157.3333334,460529735.7923892,22,1.0,0.0,10.0,750,5,9,0.05,0.0,0.7,,
10.05636183420817,0.6999737140965686,0.0906139214833577,0.0068039625963565,1.0,10.0,0.0,450,1,12,0.05,0.3,0.7,-1614803200.0,-712697664.0,-585506496.0,-971002453.3333334,458187697.6092652,63,1.0,10.0,0.0,450,1,12,0.05,0.3,0.7,,
5.621628046035767,0.301582383460493,0.093632698059082,0.0033369040198461,0.7,0.1,0.02,450,5,11,0.05,0.1,0.7,-1591365888.0,-611206144.0,-611177088.0,-937916373.3333334,462058583.136121,23,0.7,0.1,0.02,450,5,11,0.05,0.1,0.7,,
0.963602860768636,0.013265386124543,0.0570520559946695,0.0035941668481026,0.6,10.0,10.0,100,10,8,0.05,0.1,0.7,-1771096448.0,-756425216.0,-717304448.0,-1081608704.0,487802979.67306745,92,0.6,10.0,10.0,100,10,8,0.05,0.1,0.7,,
9.477818965911863,0.4182814290328462,0.1108524799346923,0.0114123933153394,0.9,10.0,0.02,850,10,11,0.1,0.2,0.7,-1575679872.0,-601270528.0,-603530816.0,-926827072.0,458809142.8007516,7,0.9,10.0,0.02,850,10,11,0.1,0.2,0.7,,
2.267834742863973,0.0259576956682222,0.0748794078826904,0.0090776603326234,0.9,10.0,0.0,200,10,11,0.1,0.2,0.7,-1604330368.0,-615029312.0,-605882496.0,-941747392.0,468531796.2347891,29,0.9,10.0,0.0,200,10,11,0.1,0.2,0.7,,
23.609585603078205,1.2689808218973728,0.1490803559621175,0.0007852338333722,0.6,0.1,10.0,850,1,12,0.05,0.3,0.7,-1611950976.0,-646471168.0,-686393664.0,-981605269.3333334,446019606.3377648,70,0.6,0.1,10.0,850,1,12,0.05,0.3,0.7,,
9.732978105545044,0.6927063710267318,0.118218978246053,0.0076505438512102,1.0,0.1,10.0,800,10,12,0.05,0.0,0.8,-1604240768.0,-612581184.0,-616011008.0,-944277653.3333334,466666494.3787041,31,1.0,0.1,10.0,800,10,12,0.05,0.0,0.8,,
11.209335724512735,0.4756500639323101,0.088961124420166,0.0026266720250474,0.9,0.1,0.02,450,10,15,0.05,0.5,0.7,-1600124800.0,-598346560.0,-616521024.0,-938330794.6666666,468017846.4594228,25,0.9,0.1,0.02,450,10,15,0.05,0.5,0.7,,
37.058648665746055,2.857175998149342,0.1522743701934814,0.0010974701309019,1.0,10.0,0.02,750,5,15,0.01,0.4,0.8,-1635196032.0,-625239744.0,-583037248.0,-947824341.3333334,486350452.1875978,35,1.0,10.0,0.02,750,5,15,0.01,0.4,0.8,,
1.0525070031483967,0.0064001162371173,0.0719260374704996,0.0162712290974167,0.6,0.0,0.0,200,5,6,0.1,0.1,0.7,-1637870336.0,-686016832.0,-660267520.0,-994718229.3333334,454898692.7507023,77,0.6,0.0,0.0,200,5,6,0.1,0.1,0.7,,
2.4121456146240234,0.0248342803687232,0.0838663578033447,0.0058012372421087,0.7,1.0,0.0,550,10,7,0.07,0.4,0.6,-1593377408.0,-607633792.0,-607992448.0,-936334549.3333334,464599483.96597874,18,0.7,1.0,0.0,550,10,7,0.07,0.4,0.6,,
25.000534852345783,0.2966126637275028,0.1355556646982828,0.0067204368819788,0.8,0.1,0.0,450,5,14,0.01,0.4,0.6,-1625470592.0,-628666688.0,-619152768.0,-957763349.3333334,472156294.8153106,46,0.8,0.1,0.0,450,5,14,0.01,0.4,0.6,,
4.10637354850769,0.0682465659737248,0.0817412535349528,0.0027500312801835,0.7,0.0,0.1,400,1,9,0.1,0.2,0.8,-1617493376.0,-711005632.0,-675439104.0,-1001312704.0,435947404.99917525,80,0.7,0.0,0.1,400,1,9,0.1,0.2,0.8,,
1.6496796607971191,0.054485990321655,0.0626523494720459,0.0072110709082238,0.6,1.0,0.02,100,5,11,0.1,0.1,0.7,-1629329024.0,-654095744.0,-668899776.0,-984108181.3333334,456280061.4384962,72,0.6,1.0,0.02,100,5,11,0.1,0.1,0.7,,
