mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
26.61478598912557,1.0833459559897325,0.17346564928690592,0.00858437044008533,0.8,1.0,1.0,900,10,16,0.1,0.5,0.6,-1612920064.0,-705888576.0,-664131776.0,-994313472.0,437752970.1676893,59,0.8,1.0,1.0,900,10,16,0.1,0.5,0.6
48.40771730740865,0.5930821562499901,0.1653269131978353,0.00902116089259583,1.0,0.0,10.0,250,1,15,0.01,0.0,0.6,-1760478336.0,-823627392.0,-774781568.0,-1119629098.6666667,453587395.01415896,93,1.0,0.0,10.0,250,1,15,0.01,0.0,0.6
5.459879398345947,0.1273730986049588,0.08760285377502441,0.0021090198903129863,0.6,1.0,1.0,400,5,10,0.01,0.4,0.7,-1697891712.0,-717945024.0,-658826112.0,-1024887616.0,476497391.64280766,80,0.6,1.0,1.0,400,5,10,0.01,0.4,0.7
10.392751375834147,0.9847599712162294,0.1008926232655843,0.0017916380280369097,1.0,10.0,1.0,400,10,16,0.07,0.1,0.8,-1627782272.0,-636637440.0,-611752832.0,-958724181.3333334,473204576.9317414,23,1.0,10.0,1.0,400,10,16,0.07,0.1,0.8
6.395057598749797,0.08422987848023583,0.11155478159586589,0.00400917060566915,1.0,0.0,10.0,750,5,9,0.05,0.0,0.7,-1612544384.0,-637634880.0,-594979328.0,-948386197.3333334,469953506.00981253,10,1.0,0.0,10.0,750,5,9,0.05,0.0,0.7
10.934333880742392,0.46816636365022585,0.10182476043701172,0.0019182613046434768,1.0,10.0,0.0,450,1,12,0.05,0.3,0.7,-1649192576.0,-662191424.0,-603880896.0,-971754965.3333334,479611868.5480524,38,1.0,10.0,0.0,450,1,12,0.05,0.3,0.7
6.10102899869283,0.21209639827425567,0.09556357065836589,0.002692061254094077,0.7,0.1,0.02,450,5,11,0.05,0.1,0.7,-1612576000.0,-638861120.0,-613590208.0,-955009109.3333334,465084448.62132215,17,0.7,0.1,0.02,450,5,11,0.05,0.1,0.7
0.7839374542236328,0.03539504742058178,0.07195067405700684,0.006366296599866272,0.6,10.0,10.0,100,10,8,0.05,0.1,0.7,-1795710720.0,-797956224.0,-735684544.0,-1109783829.3333333,485689348.61509746,92,0.6,10.0,10.0,100,10,8,0.05,0.1,0.7
10.211821556091309,0.2673387817270643,0.12138954798380534,0.00920597975580741,0.9,10.0,0.02,850,10,11,0.1,0.2,0.7,-1597629952.0,-607597440.0,-633934784.0,-946387392.0,460623539.62772304,7,0.9,10.0,0.02,850,10,11,0.1,0.2,0.7
1.9906311829884846,0.039720603399923046,0.07151015599568684,0.003556870089831989,0.9,10.0,0.0,200,10,11,0.1,0.2,0.7,-1628084096.0,-627161344.0,-642185920.0,-965810453.3333334,468338351.90613115,31,0.9,10.0,0.0,200,10,11,0.1,0.2,0.7
23.82556660970052,1.2829401738283155,0.15615264574686685,0.0031369716520399083,0.6,0.1,10.0,850,1,12,0.05,0.3,0.7,-1613277056.0,-722430080.0,-634392832.0,-990033322.6666666,442163018.6656702,55,0.6,0.1,10.0,850,1,12,0.05,0.3,0.7
9.9456893603007,0.6593700484156206,0.11538577079772949,0.007077499452105167,1.0,0.1,10.0,800,10,12,0.05,0.0,0.8,-1621564416.0,-647334208.0,-611443904.0,-960114176.0,467945398.1519256,26,1.0,0.1,10.0,800,10,12,0.05,0.0,0.8
10.876800537109375,0.3702191040889561,0.09953792889912923,0.007454598320950638,0.9,0.1,0.02,450,10,15,0.05,0.5,0.7,-1610461952.0,-639743552.0,-628196416.0,-959467306.6666666,460346865.79937017,24,0.9,0.1,0.02,450,10,15,0.05,0.5,0.7
34.51035483678182,0.6931565574060731,0.17140897115071616,0.0076174647479270345,1.0,10.0,0.02,750,5,15,0.01,0.4,0.8,-1667570304.0,-671298048.0,-603337664.0,-980735338.6666666,486457504.58574677,45,1.0,10.0,0.02,750,5,15,0.01,0.4,0.8
0.902101198832194,0.010524208814383979,0.06946833928426106,0.0031941505148202916,0.6,0.0,0.0,200,5,6,0.1,0.1,0.7,-1650660096.0,-719207232.0,-685389440.0,-1018418922.6666666,447275147.761324,79,0.6,0.0,0.0,200,5,6,0.1,0.1,0.7
2.2537551720937095,0.07151128648408653,0.0933370590209961,0.014857673183824532,0.7,1.0,0.0,550,10,7,0.07,0.4,0.6,-1615284864.0,-683528320.0,-637190656.0,-978667946.6666666,450553451.7697772,43,0.7,1.0,0.0,550,10,7,0.07,0.4,0.6
25.296701033910114,0.27997935705367744,0.14881579081217447,0.007529170039853627,0.8,0.1,0.0,450,5,14,0.01,0.4,0.6,-1641007232.0,-659225984.0,-625104256.0,-975112490.6666666,471064700.4265739,41,0.8,0.1,0.0,450,5,14,0.01,0.4,0.6
3.8812199433644614,0.04289017481864243,0.09080259005228679,0.00025916705153212333,0.7,0.0,0.1,400,1,9,0.1,0.2,0.8,-1656543616.0,-825982144.0,-723961600.0,-1068829120.0,417658787.73301256,89,0.7,0.0,0.1,400,1,9,0.1,0.2,0.8
1.3765970865885417,0.04287201437859764,0.08167703946431477,0.008126510259997716,0.6,1.0,0.02,100,5,11,0.1,0.1,0.7,-1682181248.0,-719161152.0,-649409728.0,-1016917376.0,471273685.40218127,76,0.6,1.0,0.02,100,5,11,0.1,0.1,0.7
2.8174808025360107,0.04216257782950438,0.09722447395324707,0.00247484661403754,1.0,0.1,10.0,850,10,6,0.1,0.3,0.8,-1604628864.0,-622407936.0,-636588672.0,-954541824.0,459717408.12543136,16,1.0,0.1,10.0,850,10,6,0.1,0.3,0.8
38.92924507459005,4.733916802009392,0.17777411142985025,0.0051829751038393644,0.8,0.1,0.0,600,1,14,0.05,0.5,0.8,-1674597376.0,-897284480.0,-647452864.0,-1073111573.3333334,437373095.64830047,90,0.8,0.1,0.0,600,1,14,0.05,0.5,0.8
16.03847098350525,0.3702445018764226,0.11380219459533691,0.007985087138905906,1.0,10.0,1.0,300,1,13,0.01,0.3,0.8,-1847187712.0,-866967680.0,-790095808.0,-1168083733.3333333,481223428.0504005,96,1.0,10.0,1.0,300,1,13,0.01,0.3,0.8
10.193133354187012,0.3484675186232462,0.10571853319803874,0.004226007353021559,0.6,1.0,10.0,700,10,13,0.1,0.2,0.7,-1646424832.0,-695276800.0,-673138880.0,-1004946837.3333334,453683469.0300112,68,0.6,1.0,10.0,700,10,13,0.1,0.2,0.7
